id,license,rightsHolder,accessRights,institutionID,datasetID,institutionCode,collectionCode,datasetName,basisOfRecord,dataGeneralizations,occurrenceID,catalogNumber,occurrenceRemarks,recordedBy,individualCount,sex,lifeStage,occurrenceStatus,organismID,organismName,organismScope,eventID,samplingProtocol,startDayOfYear,endDayOfYear,locality,scientificNameID,scientificName,kingdom,vernacularName
otn:SAF.SSST:SSST-34070-release,https://creativecommons.org/licenses/by/4.0/,"Ocean Tracking Network, Dalhousie University, Halifax, Nova Scotia otndc@dal.ca",https://members.oceantrack.org/data/policies/otn-data-policy,Shark Spotters,otnsharkspotterssharkspot,Shark Spotters,SSST,Shark Spotters shark tracking,HumanObservation,,otn:SAF.SSST:SSST-34070-release,SSST-34070-release,,ALISON KOCK,1,,,present,SSST-34070,SSST-34070,individual,otn:SAF.SSST:SSST-34070-release,tracking tags,148,148,"Millers Point, False Bay",urn:lsid:marinespecies.org:taxname:217628,Notorynchus cepedianus,Animalia,sevengill shark
otn:SAF.SSST:SSST-340801-release,https://creativecommons.org/licenses/by/4.0/,"Ocean Tracking Network, Dalhousie University, Halifax, Nova Scotia otndc@dal.ca",https://members.oceantrack.org/data/policies/otn-data-policy,Shark Spotters,otnsharkspotterssharkspot,Shark Spotters,SSST,Shark Spotters shark tracking,HumanObservation,,otn:SAF.SSST:SSST-340801-release,SSST-340801-release,,"KOCK, ALISON| BARNETT, ADAM| ET AL.",1,,,present,SSST-340801,SSST-340801,individual,otn:SAF.SSST:SSST-340801-release,tracking tags,73,73,"Millers Point, False Bay",urn:lsid:marinespecies.org:taxname:217628,Notorynchus cepedianus,Animalia,sevengill shark
otn:SAF.SSST:SSST-340802-release,https://creativecommons.org/licenses/by/4.0/,"Ocean Tracking Network, Dalhousie University, Halifax, Nova Scotia otndc@dal.ca",https://members.oceantrack.org/data/policies/otn-data-policy,Shark Spotters,otnsharkspotterssharkspot,Shark Spotters,SSST,Shark Spotters shark tracking,HumanObservation,,otn:SAF.SSST:SSST-340802-release,SSST-340802-release,,"KOCK, ALISON| BARNETT, ADAM| ET AL.",1,,,present,SSST-340802,SSST-340802,individual,otn:SAF.SSST:SSST-340802-release,tracking tags,73,73,"Millers Point, False Bay",urn:lsid:marinespecies.org:taxname:217628,Notorynchus cepedianus,Animalia,sevengill shark
otn:SAF.SSST:SSST-34094-release,https://creativecommons.org/licenses/by/4.0/,"Ocean Tracking Network, Dalhousie University, Halifax, Nova Scotia otndc@dal.ca",https://members.oceantrack.org/data/policies/otn-data-policy,Shark Spotters,otnsharkspotterssharkspot,Shark Spotters,SSST,Shark Spotters shark tracking,HumanObservation,,otn:SAF.SSST:SSST-34094-release,SSST-34094-release,,ALISON KOCK,1,,,present,SSST-34094,SSST-34094,individual,otn:SAF.SSST:SSST-34094-release,tracking tags,148,148,"Millers Point, False Bay",urn:lsid:marinespecies.org:taxname:217628,Notorynchus cepedianus,Animalia,sevengill shark
otn:SAF.SSST:SSST-34095-release,https://creativecommons.org/licenses/by/4.0/,"Ocean Tracking Network, Dalhousie University, Halifax, Nova Scotia otndc@dal.ca",https://members.oceantrack.org/data/policies/otn-data-policy,Shark Spotters,otnsharkspotterssharkspot,Shark Spotters,SSST,Shark Spotters shark tracking,HumanObservation,,otn:SAF.SSST:SSST-34095-release,SSST-34095-release,,ALISON KOCK,1,,,present,SSST-34095,SSST-34095,individual,otn:SAF.SSST:SSST-34095-release,tracking tags,150,150,"Millers Point, False Bay",urn:lsid:marinespecies.org:taxname:217628,Notorynchus cepedianus,Animalia,sevengill shark
otn:SAF.SSST:SSST-34097-release,https://creativecommons.org/licenses/by/4.0/,"Ocean Tracking Network, Dalhousie University, Halifax, Nova Scotia otndc@dal.ca",https://members.oceantrack.org/data/policies/otn-data-policy,Shark Spotters,otnsharkspotterssharkspot,Shark Spotters,SSST,Shark Spotters shark tracking,HumanObservation,,otn:SAF.SSST:SSST-34097-release,SSST-34097-release,,ALISON KOCK,1,,,present,SSST-34097,SSST-34097,individual,otn:SAF.SSST:SSST-34097-release,tracking tags,148,148,"Millers Point, False Bay",urn:lsid:marinespecies.org:taxname:217628,Notorynchus cepedianus,Animalia,sevengill shark
otn:SAF.SSST:SSST-2013-22-release,https://creativecommons.org/licenses/by/4.0/,"Ocean Tracking Network, Dalhousie University, Halifax, Nova Scotia otndc@dal.ca",https://members.oceantrack.org/data/policies/otn-data-policy,Shark Spotters,otnsharkspotterssharkspot,Shark Spotters,SSST,Shark Spotters shark tracking,HumanObservation,,otn:SAF.SSST:SSST-2013-22-release,SSST-2013-22-release,,ALISON KOCK,1,,,present,SSST-2013-22,SSST-2013-22,individual,otn:SAF.SSST:SSST-2013-22-release,tracking tags,73,73,"Millers Point, False Bay",urn:lsid:marinespecies.org:taxname:217628,Notorynchus cepedianus,Animalia,sevengill shark
otn:SAF.SSST:SSST-1042222-release,https://creativecommons.org/licenses/by/4.0/,"Ocean Tracking Network, Dalhousie University, Halifax, Nova Scotia otndc@dal.ca",https://members.oceantrack.org/data/policies/otn-data-policy,Shark Spotters,otnsharkspotterssharkspot,Shark Spotters,SSST,Shark Spotters shark tracking,HumanObservation,,otn:SAF.SSST:SSST-1042222-release,SSST-1042222-release,,ALISON KOCK,1,,,present,SSST-1042222,SSST-1042222,individual,otn:SAF.SSST:SSST-1042222-release,tracking tags,73,73,"Millers Point, False Bay",urn:lsid:marinespecies.org:taxname:217628,Notorynchus cepedianus,Animalia,sevengill shark
otn:SAF.SSST:SSST-1168537-release,https://creativecommons.org/licenses/by/4.0/,"Ocean Tracking Network, Dalhousie University, Halifax, Nova Scotia otndc@dal.ca",https://members.oceantrack.org/data/policies/otn-data-policy,Shark Spotters,otnsharkspotterssharkspot,Shark Spotters,SSST,Shark Spotters shark tracking,HumanObservation,,otn:SAF.SSST:SSST-1168537-release,SSST-1168537-release,,ALISON KOCK,1,,,present,SSST-1168537,SSST-1168537,individual,otn:SAF.SSST:SSST-1168537-release,tracking tags,35,35,"Robben Island, Table Bay",urn:lsid:marinespecies.org:taxname:217628,Notorynchus cepedianus,Animalia,sevengill shark
otn:SAF.SSST:SSST-1194459-release,https://creativecommons.org/licenses/by/4.0/,"Ocean Tracking Network, Dalhousie University, Halifax, Nova Scotia otndc@dal.ca",https://members.oceantrack.org/data/policies/otn-data-policy,Shark Spotters,otnsharkspotterssharkspot,Shark Spotters,SSST,Shark Spotters shark tracking,HumanObservation,,otn:SAF.SSST:SSST-1194459-release,SSST-1194459-release,,ALISON KOCK,1,,,present,SSST-1194459,SSST-1194459,individual,otn:SAF.SSST:SSST-1194459-release,tracking tags,36,36,"Millers Point, False Bay",urn:lsid:marinespecies.org:taxname:217628,Notorynchus cepedianus,Animalia,sevengill shark
otn:SAF.SSST:SSST-1194461-release,https://creativecommons.org/licenses/by/4.0/,"Ocean Tracking Network, Dalhousie University, Halifax, Nova Scotia otndc@dal.ca",https://members.oceantrack.org/data/policies/otn-data-policy,Shark Spotters,otnsharkspotterssharkspot,Shark Spotters,SSST,Shark Spotters shark tracking,HumanObservation,,otn:SAF.SSST:SSST-1194461-release,SSST-1194461-release,,ALISON KOCK,1,,,present,SSST-1194461,SSST-1194461,individual,otn:SAF.SSST:SSST-1194461-release,tracking tags,36,36,"Millers Point, False Bay",urn:lsid:marinespecies.org:taxname:217628,Notorynchus cepedianus,Animalia,sevengill shark
otn:SAF.SSST:SSST-1194464-release,https://creativecommons.org/licenses/by/4.0/,"Ocean Tracking Network, Dalhousie University, Halifax, Nova Scotia otndc@dal.ca",https://members.oceantrack.org/data/policies/otn-data-policy,Shark Spotters,otnsharkspotterssharkspot,Shark Spotters,SSST,Shark Spotters shark tracking,HumanObservation,,otn:SAF.SSST:SSST-1194464-release,SSST-1194464-release,,ALISON KOCK,1,,,present,SSST-1194464,SSST-1194464,individual,otn:SAF.SSST:SSST-1194464-release,tracking tags,36,36,"Millers Point, False Bay",urn:lsid:marinespecies.org:taxname:217628,Notorynchus cepedianus,Animalia,sevengill shark
otn:SAF.SSST:SSST-1194465-release,https://creativecommons.org/licenses/by/4.0/,"Ocean Tracking Network, Dalhousie University, Halifax, Nova Scotia otndc@dal.ca",https://members.oceantrack.org/data/policies/otn-data-policy,Shark Spotters,otnsharkspotterssharkspot,Shark Spotters,SSST,Shark Spotters shark tracking,HumanObservation,,otn:SAF.SSST:SSST-1194465-release,SSST-1194465-release,,ALISON KOCK,1,,,present,SSST-1194465,SSST-1194465,individual,otn:SAF.SSST:SSST-1194465-release,tracking tags,41,41,"Millers Point, False Bay",urn:lsid:marinespecies.org:taxname:217628,Notorynchus cepedianus,Animalia,sevengill shark
otn:SAF.SSST:SSST-1194466-release,https://creativecommons.org/licenses/by/4.0/,"Ocean Tracking Network, Dalhousie University, Halifax, Nova Scotia otndc@dal.ca",https://members.oceantrack.org/data/policies/otn-data-policy,Shark Spotters,otnsharkspotterssharkspot,Shark Spotters,SSST,Shark Spotters shark tracking,HumanObservation,,otn:SAF.SSST:SSST-1194466-release,SSST-1194466-release,,ALISON KOCK,1,,,present,SSST-1194466,SSST-1194466,individual,otn:SAF.SSST:SSST-1194466-release,tracking tags,41,41,"Millers Point, False Bay",urn:lsid:marinespecies.org:taxname:217628,Notorynchus cepedianus,Animalia,sevengill shark
otn:SAF.SSST:SSST-1200428-release,https://creativecommons.org/licenses/by/4.0/,"Ocean Tracking Network, Dalhousie University, Halifax, Nova Scotia otndc@dal.ca",https://members.oceantrack.org/data/policies/otn-data-policy,Shark Spotters,otnsharkspotterssharkspot,Shark Spotters,SSST,Shark Spotters shark tracking,HumanObservation,,otn:SAF.SSST:SSST-1200428-release,SSST-1200428-release,,ALISON KOCK,1,,,present,SSST-1200428,SSST-1200428,individual,otn:SAF.SSST:SSST-1200428-release,tracking tags,42,42,"Monwabisi, False Bay",urn:lsid:marinespecies.org:taxname:105822,Mustelus mustelus,Animalia,smoothhound shark
otn:SAF.SSST:SSST-1200775-release,https://creativecommons.org/licenses/by/4.0/,"Ocean Tracking Network, Dalhousie University, Halifax, Nova Scotia otndc@dal.ca",https://members.oceantrack.org/data/policies/otn-data-policy,Shark Spotters,otnsharkspotterssharkspot,Shark Spotters,SSST,Shark Spotters shark tracking,HumanObservation,,otn:SAF.SSST:SSST-1200775-release,SSST-1200775-release,,ALISON KOCK,1,,,present,SSST-1200775,SSST-1200775,individual,otn:SAF.SSST:SSST-1200775-release,tracking tags,49,49,"Millers Point, False Bay",urn:lsid:marinespecies.org:taxname:217628,Notorynchus cepedianus,Animalia,sevengill shark
otn:SAF.SSST:SSST-1200776-release,https://creativecommons.org/licenses/by/4.0/,"Ocean Tracking Network, Dalhousie University, Halifax, Nova Scotia otndc@dal.ca",https://members.oceantrack.org/data/policies/otn-data-policy,Shark Spotters,otnsharkspotterssharkspot,Shark Spotters,SSST,Shark Spotters shark tracking,HumanObservation,,otn:SAF.SSST:SSST-1200776-release,SSST-1200776-release,,ALISON KOCK,1,,,present,SSST-1200776,SSST-1200776,individual,otn:SAF.SSST:SSST-1200776-release,tracking tags,49,49,"Millers Point, False Bay",urn:lsid:marinespecies.org:taxname:217628,Notorynchus cepedianus,Animalia,sevengill shark
otn:SAF.SSST:SSST-1200777-release,https://creativecommons.org/licenses/by/4.0/,"Ocean Tracking Network, Dalhousie University, Halifax, Nova Scotia otndc@dal.ca",https://members.oceantrack.org/data/policies/otn-data-policy,Shark Spotters,otnsharkspotterssharkspot,Shark Spotters,SSST,Shark Spotters shark tracking,HumanObservation,,otn:SAF.SSST:SSST-1200777-release,SSST-1200777-release,,ALISON KOCK,1,,,present,SSST-1200777,SSST-1200777,individual,otn:SAF.SSST:SSST-1200777-release,tracking tags,253,253,"Gordon's Bay, False Bay",urn:lsid:marinespecies.org:taxname:217628,Notorynchus cepedianus,Animalia,sevengill shark
otn:SAF.SSST:SSST-1200778-release,https://creativecommons.org/licenses/by/4.0/,"Ocean Tracking Network, Dalhousie University, Halifax, Nova Scotia otndc@dal.ca",https://members.oceantrack.org/data/policies/otn-data-policy,Shark Spotters,otnsharkspotterssharkspot,Shark Spotters,SSST,Shark Spotters shark tracking,HumanObservation,,otn:SAF.SSST:SSST-1200778-release,SSST-1200778-release,,ALISON KOCK,1,,,present,SSST-1200778,SSST-1200778,individual,otn:SAF.SSST:SSST-1200778-release,tracking tags,36,36,"Millers Point, False Bay",urn:lsid:marinespecies.org:taxname:217628,Notorynchus cepedianus,Animalia,sevengill shark
otn:SAF.SSST:SSST-1200779-release,https://creativecommons.org/licenses/by/4.0/,"Ocean Tracking Network, Dalhousie University, Halifax, Nova Scotia otndc@dal.ca",https://members.oceantrack.org/data/policies/otn-data-policy,Shark Spotters,otnsharkspotterssharkspot,Shark Spotters,SSST,Shark Spotters shark tracking,HumanObservation,,otn:SAF.SSST:SSST-1200779-release,SSST-1200779-release,,ALISON KOCK,1,,,present,SSST-1200779,SSST-1200779,individual,otn:SAF.SSST:SSST-1200779-release,tracking tags,36,36,"Millers Point, False Bay",urn:lsid:marinespecies.org:taxname:217628,Notorynchus cepedianus,Animalia,sevengill shark
otn:SAF.SSST:SSST-1200783-release,https://creativecommons.org/licenses/by/4.0/,"Ocean Tracking Network, Dalhousie University, Halifax, Nova Scotia otndc@dal.ca",https://members.oceantrack.org/data/policies/otn-data-policy,Shark Spotters,otnsharkspotterssharkspot,Shark Spotters,SSST,Shark Spotters shark tracking,HumanObservation,,otn:SAF.SSST:SSST-1200783-release,SSST-1200783-release,,ALISON KOCK,1,,,present,SSST-1200783,SSST-1200783,individual,otn:SAF.SSST:SSST-1200783-release,tracking tags,55,55,"Seal Island, False Bay",urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,white shark
otn:SAF.SSST:SSST-1200784-release,https://creativecommons.org/licenses/by/4.0/,"Ocean Tracking Network, Dalhousie University, Halifax, Nova Scotia otndc@dal.ca",https://members.oceantrack.org/data/policies/otn-data-policy,Shark Spotters,otnsharkspotterssharkspot,Shark Spotters,SSST,Shark Spotters shark tracking,HumanObservation,,otn:SAF.SSST:SSST-1200784-release,SSST-1200784-release,,ALISON KOCK,1,,,present,SSST-1200784,SSST-1200784,individual,otn:SAF.SSST:SSST-1200784-release,tracking tags,55,55,"Seal Island, False Bay",urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,white shark
otn:SAF.SSST:SSST-32522-release,https://creativecommons.org/licenses/by/4.0/,"Ocean Tracking Network, Dalhousie University, Halifax, Nova Scotia otndc@dal.ca",https://members.oceantrack.org/data/policies/otn-data-policy,Shark Spotters,otnsharkspotterssharkspot,Shark Spotters,SSST,Shark Spotters shark tracking,HumanObservation,,otn:SAF.SSST:SSST-32522-release,SSST-32522-release,We think that this was a typo and should be 32552 (the rest of the tags follow this sequence),ALISON KOCK,1,,,present,SSST-32522,SSST-32522,individual,otn:SAF.SSST:SSST-32522-release,tracking tags,337,337,"Millers Point, False Bay",urn:lsid:marinespecies.org:taxname:217628,Notorynchus cepedianus,Animalia,sevengill shark
otn:SAF.SSST:SSST-32553-release,https://creativecommons.org/licenses/by/4.0/,"Ocean Tracking Network, Dalhousie University, Halifax, Nova Scotia otndc@dal.ca",https://members.oceantrack.org/data/policies/otn-data-policy,Shark Spotters,otnsharkspotterssharkspot,Shark Spotters,SSST,Shark Spotters shark tracking,HumanObservation,,otn:SAF.SSST:SSST-32553-release,SSST-32553-release,,ALISON KOCK,1,,,present,SSST-32553,SSST-32553,individual,otn:SAF.SSST:SSST-32553-release,tracking tags,196,196,"Millers Point, False Bay",urn:lsid:marinespecies.org:taxname:217628,Notorynchus cepedianus,Animalia,sevengill shark
otn:SAF.SSST:SSST-32555-release,https://creativecommons.org/licenses/by/4.0/,"Ocean Tracking Network, Dalhousie University, Halifax, Nova Scotia otndc@dal.ca",https://members.oceantrack.org/data/policies/otn-data-policy,Shark Spotters,otnsharkspotterssharkspot,Shark Spotters,SSST,Shark Spotters shark tracking,HumanObservation,,otn:SAF.SSST:SSST-32555-release,SSST-32555-release,,ALISON KOCK,1,,,present,SSST-32555,SSST-32555,individual,otn:SAF.SSST:SSST-32555-release,tracking tags,104,104,"Millers Point, False Bay",urn:lsid:marinespecies.org:taxname:217628,Notorynchus cepedianus,Animalia,sevengill shark
otn:SAF.SSST:SSST-32556-release,https://creativecommons.org/licenses/by/4.0/,"Ocean Tracking Network, Dalhousie University, Halifax, Nova Scotia otndc@dal.ca",https://members.oceantrack.org/data/policies/otn-data-policy,Shark Spotters,otnsharkspotterssharkspot,Shark Spotters,SSST,Shark Spotters shark tracking,HumanObservation,,otn:SAF.SSST:SSST-32556-release,SSST-32556-release,,ALISON KOCK,1,,,present,SSST-32556,SSST-32556,individual,otn:SAF.SSST:SSST-32556-release,tracking tags,196,196,"Millers Point, False Bay",urn:lsid:marinespecies.org:taxname:217628,Notorynchus cepedianus,Animalia,sevengill shark
otn:SAF.SSST:SSST-32557-release,https://creativecommons.org/licenses/by/4.0/,"Ocean Tracking Network, Dalhousie University, Halifax, Nova Scotia otndc@dal.ca",https://members.oceantrack.org/data/policies/otn-data-policy,Shark Spotters,otnsharkspotterssharkspot,Shark Spotters,SSST,Shark Spotters shark tracking,HumanObservation,,otn:SAF.SSST:SSST-32557-release,SSST-32557-release,,ALISON KOCK,1,,,present,SSST-32557,SSST-32557,individual,otn:SAF.SSST:SSST-32557-release,tracking tags,104,104,"Millers Point, False Bay",urn:lsid:marinespecies.org:taxname:217628,Notorynchus cepedianus,Animalia,sevengill shark
otn:SAF.SSST:SSST-32558-release,https://creativecommons.org/licenses/by/4.0/,"Ocean Tracking Network, Dalhousie University, Halifax, Nova Scotia otndc@dal.ca",https://members.oceantrack.org/data/policies/otn-data-policy,Shark Spotters,otnsharkspotterssharkspot,Shark Spotters,SSST,Shark Spotters shark tracking,HumanObservation,,otn:SAF.SSST:SSST-32558-release,SSST-32558-release,,ALISON KOCK,1,,,present,SSST-32558,SSST-32558,individual,otn:SAF.SSST:SSST-32558-release,tracking tags,196,196,"Millers Point, False Bay",urn:lsid:marinespecies.org:taxname:217628,Notorynchus cepedianus,Animalia,sevengill shark
otn:SAF.SSST:SSST-32559-release,https://creativecommons.org/licenses/by/4.0/,"Ocean Tracking Network, Dalhousie University, Halifax, Nova Scotia otndc@dal.ca",https://members.oceantrack.org/data/policies/otn-data-policy,Shark Spotters,otnsharkspotterssharkspot,Shark Spotters,SSST,Shark Spotters shark tracking,HumanObservation,,otn:SAF.SSST:SSST-32559-release,SSST-32559-release,,ALISON KOCK,1,,,present,SSST-32559,SSST-32559,individual,otn:SAF.SSST:SSST-32559-release,tracking tags,196,196,"Millers Point, False Bay",urn:lsid:marinespecies.org:taxname:217628,Notorynchus cepedianus,Animalia,sevengill shark
otn:SAF.SSST:SSST-32560-release,https://creativecommons.org/licenses/by/4.0/,"Ocean Tracking Network, Dalhousie University, Halifax, Nova Scotia otndc@dal.ca",https://members.oceantrack.org/data/policies/otn-data-policy,Shark Spotters,otnsharkspotterssharkspot,Shark Spotters,SSST,Shark Spotters shark tracking,HumanObservation,,otn:SAF.SSST:SSST-32560-release,SSST-32560-release,,ALISON KOCK,1,,,present,SSST-32560,SSST-32560,individual,otn:SAF.SSST:SSST-32560-release,tracking tags,196,196,"Millers Point, False Bay",urn:lsid:marinespecies.org:taxname:217628,Notorynchus cepedianus,Animalia,sevengill shark
otn:SAF.SSST:SSST-34080-release,https://creativecommons.org/licenses/by/4.0/,"Ocean Tracking Network, Dalhousie University, Halifax, Nova Scotia otndc@dal.ca",https://members.oceantrack.org/data/policies/otn-data-policy,Shark Spotters,otnsharkspotterssharkspot,Shark Spotters,SSST,Shark Spotters shark tracking,HumanObservation,,otn:SAF.SSST:SSST-34080-release,SSST-34080-release,,ALISON KOCK,1,,,present,SSST-34080,SSST-34080,individual,otn:SAF.SSST:SSST-34080-release,tracking tags,64,64,"Millers Point, False Bay",urn:lsid:marinespecies.org:taxname:217628,Notorynchus cepedianus,Animalia,sevengill shark
otn:SAF.SSST:SSST-37059-release,https://creativecommons.org/licenses/by/4.0/,"Ocean Tracking Network, Dalhousie University, Halifax, Nova Scotia otndc@dal.ca",https://members.oceantrack.org/data/policies/otn-data-policy,Shark Spotters,otnsharkspotterssharkspot,Shark Spotters,SSST,Shark Spotters shark tracking,HumanObservation,,otn:SAF.SSST:SSST-37059-release,SSST-37059-release,,ALISON KOCK,1,,,present,SSST-37059,SSST-37059,individual,otn:SAF.SSST:SSST-37059-release,tracking tags,37,37,"Seal Island, False Bay",urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,white shark
